curve_idx,target,amp_score,cq,cycle_no,rn,drn,Fn,pcr_plate,sample_type,igi_call
35011,MS2,2.604813462390432,20.677254031583345,32,524690.75,301471.78526785714,524690.75,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,33,552733.1875,329438.3767857143,552733.2,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,34,576024.5,352653.84330357146,576024.5,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,35,595382.25,371935.74732142856,595382.25,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,36,610645.625,387123.27633928566,610645.6,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,37,623036.125,399437.9303571428,623036.1,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,38,633404.625,409730.584375,633404.6,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,39,641078.25,417328.36339285714,641078.25,AC00DBJZ,Clinical Sample,Positive
35011,MS2,2.604813462390432,20.677254031583345,40,646456.25,422630.5174107143,646456.25,AC00DBJZ,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,1,22530.833984375,27.99053485576755,22530.834,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,2,22590.93359375,27.823692908654124,22590.934,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,3,22649.140625,25.76427283653706,22649.14,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,4,22739.15625,55.513446514423634,22739.156,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,5,22707.37890625,-36.53034855769343,22707.379,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,6,22691.857421875,-112.31828425480684,22691.857,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,7,22839.134765625,-25.30739182692392,22839.135,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,8,22964.486328125,39.777719350962656,22964.486,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,9,23071.853515625,86.87845552884559,23071.854,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,10,23093.333984375,48.092472956732166,23093.334,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,11,23043.408203125,-62.0997596153849,23043.408,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,12,23096.48046875,-69.29394531249832,23096.48,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,13,23238.3359375,12.295072115384611,23238.336,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,14,23336.62890625,50.32158954326755,23336.629,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,15,23333.48046875,-13.093299278845876,23333.48,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,16,23471.240234375,64.40001502403706,23471.24,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,17,23621.716796875,154.61012620192363,23621.717,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,18,23843.271484375,315.8983623798066,23843.271,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,19,24272.25,684.6104266826932,24272.25,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,20,25145.271484375,1497.365459735576,25145.271,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,21,26663.166015625,2954.993539663463,26663.166,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,22,29739.71484375,5971.275916466346,29739.715,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,23,35306.87109375,11478.165715144232,35306.87,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,24,45619.828125,21730.85629507212,45619.83,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,25,62806.12109375,38856.8828125,62806.12,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,26,89818.828125,65809.32339242788,89818.83,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,27,127261.453125,103191.68194110577,127261.45,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,28,173261.65625,149131.61861478366,173261.66,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,29,223986.25,199795.9459134616,223986.25,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,30,275313.96875,251063.39821213944,275313.97,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,31,321440.9375,297130.1005108173,321440.94,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,32,355653.59375,331282.4903094952,355653.6,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,33,377431.65625,353000.28635817306,377431.66,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,34,389310.71875,364819.082406851,389310.72,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,35,394832.40625,370280.5034555289,394832.4,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,36,396770.53125,372158.3620042068,396770.53,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,37,397355.4375,372683.0018028846,397355.44,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,38,398489.71875,373757.0166015625,398489.72,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,39,399580.6875,374787.7189002404,399580.7,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,40,400412.40625,375559.1711989183,400412.4,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,41,401202.96875,376289.4672475962,401202.97,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,42,401264.78125,376291.01329627406,401264.78,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,43,401583.25,376549.215594952,401583.25,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,44,402548.09375,377453.7928936298,402548.1,AC00GXU9,Clinical Sample,Positive
49617,RnaseP,2.644101671762852,22.799714947433223,45,402808.71875,377654.1514423077,402808.72,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,1,24545.3203125,142.08438346555826,24545.32,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,2,24615.23828125,159.0250076593123,24615.238,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,3,24603.166015625,93.97539747807,24603.166,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,4,24535.888671875,-26.27929082817233,24535.889,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,5,24541.125,-74.02030725941827,24541.125,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,6,24681.44921875,13.326566934339404,24681.45,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,7,24714.396484375,-6.703511996902911,24714.396,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,8,24864.748046875,90.67070594685114,24864.748,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,9,24963.548828125,136.49414264060883,24963.549,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,10,24941.03515625,61.003126209366506,24941.035,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,11,24977.01171875,44.00234415312055,24977.012,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,12,24929.7734375,-56.21328165312176,24929.773,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,13,24907.583984375,-131.38007933436407,24907.584,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,14,24936.1484375,-155.79297076561002,24936.148,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,15,24926.673828125,-218.2449246968524,24926.674,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,16,25074.310546875,-123.58555050309464,25074.31,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,17,25209.84765625,-41.02578568434061,25209.848,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,18,25337.65234375,33.80155725941707,25337.652,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,19,25540.22265625,183.3945252031748,25540.223,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,20,25586.3828125,176.5773368969288,25586.383,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,21,25562.634765625,99.8519454656865,25562.635,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,22,25824.27734375,308.5171790344441,25824.277,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,23,26233.7578125,665.0203032281983,26233.758,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,24,26980.01171875,1358.2968649219558,26980.012,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,25,27947.03515625,2272.3429578657137,27947.035,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,26,30058.1875,4330.517957059467,30058.188,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,27,34370.1171875,8589.470300003226,34370.117,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,28,42174.05078125,16340.426549196984,42174.05,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,29,56188.36328125,30301.761704640736,56188.363,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,30,79200.859375,53261.28045383449,79200.86,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,31,112702.5078125,86709.95154677825,112702.51,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,32,155235.59375,129190.06013972202,155235.6,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,33,205749.640625,179651.12967016577,205749.64,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,34,258804.125,232652.63670060952,258804.12,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,35,298872.59375,272668.1281060533,298872.6,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,36,323782.90625,297525.46326149703,323782.9,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,37,339109.9375,312799.5171669408,339109.94,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,38,350234.3125,323870.91482238454,350234.3,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,39,359689.21875,333272.8437278283,359689.22,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,40,367237.125,340767.77263327205,367237.12,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,41,373495.21875,346972.8890387158,373495.22,AC00GXU9,Clinical Sample,Positive
49627,RnaseP,2.6349549496116897,27.282193116898334,42,378493.375,351918.0679441596,378493.38,AC00GXU9,Clinical Sample,Positive
