Well,Well Position,Cycle Number,ATTO 647,VIC,FAM
12,A12,41,-462.78018,-850.2566,-7255.799
12,A12,42,-513.8042,-904.0365,-7160.6274
12,A12,43,-581.1602,-828.00226,-7047.8506
12,A12,44,-598.2833,-883.67883,-7126.0513
12,A12,45,-521.71387,-954.8644,-7272.489
13,A13,1,18102.395,341931.94,127641.12
13,A13,2,18044.94,341963.47,127685.84
13,A13,3,18065.828,342296.62,128169.54
13,A13,4,18262.627,342395.75,128261.78
13,A13,5,18306.81,342582.75,128229.83
13,A13,6,18425.002,342321.72,128367.97
13,A13,7,18368.852,342192.4,128407.6
13,A13,8,18190.752,342156.9,128396.766
13,A13,9,18203.559,342142.72,128599.16
13,A13,10,18510.232,342272.28,128869.195
13,A13,11,18580.527,342380.7,128953.19
13,A13,12,18643.18,342372.47,128935.6
13,A13,13,18575.59,342446.16,129173.35
13,A13,14,18461.04,342962.3,129209.16
13,A13,15,18448.725,343097.9,129132.76
13,A13,16,18695.574,343255.44,129283.95
13,A13,17,18809.459,343572.25,129583.69
13,A13,18,18743.74,343847.53,129732.23
13,A13,19,18663.889,343758.62,129960.49
13,A13,20,18622.09,343475.1,130013.15
13,A13,21,18798.691,343462.16,130083.336
13,A13,22,19064.344,344071.97,130153.71
13,A13,23,19117.855,344442.1,130218.92
13,A13,24,19147.01,344708.56,130249.26
13,A13,25,19071.115,344884.38,130547
13,A13,26,19050.457,345016.84,131029.91
13,A13,27,19100.22,345441.12,131711.05
13,A13,28,19083.805,346164.25,133020.06
13,A13,29,19069.432,347330.53,135342.16
13,A13,30,19324.63,349178.72,139997.31
13,A13,31,19331.135,353327.12,148875.9
13,A13,32,19293.506,361240.4,166229.67
13,A13,33,19428.332,376807.56,196916.53
13,A13,34,19417.023,401083.38,244274.47
13,A13,35,19484.387,432222.8,301143.84
13,A13,36,19654.072,460727.75,363638.28
13,A13,37,19743.91,482567.72,424472.75
13,A13,38,19660.447,497741.62,478336.22
13,A13,39,19620.953,508853.25,526025.9
13,A13,40,19756.297,518302.2,569890.75
13,A13,41,19876.828,526926.5,609814.75
13,A13,42,19833.303,534702.56,643707.25
13,A13,43,19935.318,541366.06,674398.06
13,A13,44,19854.006,546361.75,702862.2
13,A13,45,19800.01,552246.44,724693.94
14,A14,1,-341.89163,737.6488,-2323.8914
14,A14,2,-363.97983,743.65375,-2316.0298
14,A14,3,-391.3399,817.55005,-2135.9915
14,A14,4,-400.68222,838.50195,-1785.3466
14,A14,5,-314.77194,888.0761,-1701.9191
14,A14,6,-379.0027,890.5101,-1565.1129
14,A14,7,-398.8935,924.6843,-1606.3458
14,A14,8,-287.83655,797.118,-1608.4846
14,A14,9,-368.6921,749.2706,-1388.8447
14,A14,10,-416.16013,782.44055,-1329.1493
14,A14,11,-329.33,910.62177,-1354.9034
14,A14,12,-184.97668,878.8591,-1173.5521
14,A14,13,-190.25822,786.6307,-1137.2769
14,A14,14,-186.39392,769.97644,-1240.2563
14,A14,15,-228.31892,826.6453,-1348.8081
14,A14,16,-241.4356,847.7313,-1362.5812
14,A14,17,-267.06403,952.79144,-1045.2905
14,A14,18,-199.16254,951.274,-953.40497
14,A14,19,-187.20613,984.6806,-998.16077
14,A14,20,-244.98386,1024.5095,-1035.1116
14,A14,21,-299.73315,938.1312,-1000.1726
14,A14,22,-360.66867,825.5907,-948.3066
14,A14,23,-373.71445,790.9093,-967.1738
